"desig","details","org","loc","keyskills","date","expLow","expHigh","salLow","job"
"Data Mining Specialist - Fraud Investigations - Gurgaon","Data Mining Specialist - Fraud Investigations - Gurgaon","V- Konnect Associates","Delhi NCR","data analysis- data visualization- data mining- data analytics...","2018-03-13",2.0,7.0,800000.0,"DS"
"Business Analyst- Business Intelligence","Business Analyst- Business Intelligence","Ikon Staffing Solutions Pvt. Ltd.","Mumbai","Use Cases- Data Analytics- Business Analysis- Business Intelligence...","2018-03-12",4.0,7.0,1600000.0,"DS"
"Business Analyst - Salesforce","Business Analyst - Salesforce","Premium","Hyderabad","Business Process- Life Cycle- Software Development- Business System...","2018-03-13",5.0,10.0,0.0,"DS"
"Business Analyst / Data Analytics Expert - R / Python / Matlab","Business Analyst / Data Analytics Expert - R / Python / Matlab","Premium","Pune","Data Analytics- Python- MATLAB- R- SQL- Visualization- Machine Learning...","2018-03-09",3.0,8.0,0.0,"DS"
"AWS Big Data Engineer","AWS Big Data Engineer","Shella Consultants","United Kingdom (U.K)","AWS Big Data Engineer- Big Data Skills on AWS","2018-03-10",6.0,10.0,5000.0,"DS"
"Business Analyst - IIT / NIT / DU / BITS / IIM / ISB","Business Analyst - IIT / NIT / DU / BITS / IIM / ISB","Premium","Mumbai","vba- ms excel- sql- python- analytics- data science- business analyst- data...","2018-03-21",1.0,6.0,0.0,"DS"
"Senior Solution Architect - Business Analyst","Senior Solution Architect - Business Analyst","Premium","Bengaluru","Android- Java- IOS- Rest- Web Services- Web Technologies...","2018-03-19",12.0,15.0,0.0,"DS"
"BIG DATA - Hadoop -principal Infrastructure Engineer","BIG DATA - Hadoop -principal Infrastructure Engineer","Confidential","Chennai","Data management- Troubleshooting- Tuning- Perl- Data quality- RDBMS- Hadoop...","2018-03-06",5.0,8.0,0.0,"DS"
"Urgent Position For Sr Engineer Data Center","Urgent Position For Sr Engineer Data Center","ManpowerGroup Services India Private Limited","Gurgaon","Dataguard- VMware Vsphere- Networking- V- Golden Gate...","2018-03-08",8.0,10.0,0.0,"DS"
"Test Engineer - Hadoop/big Data Testing","Test Engineer - Hadoop/big Data Testing","Premium","Bengaluru","Testng- Selenium Webdriver- Big Data- Hadoop- Test Engineering...","2018-03-09",7.0,12.0,0.0,"DS"
"Business Analyst- Marketing Analytics","Business Analyst- Marketing Analytics","Premium","Mumbai- Delhi NCR","Use Cases- Data Analytics- Business Analysis- Marketing Analytics...","2018-03-20",5.0,8.0,0.0,"DS"
"Data Engineer ( Data Warehouse)","Data Engineer ( Data Warehouse)","Premium","Delhi","Hive- Impala- NoSQL- HBase- Pig- Java- Cassandra- Big Data- SQL- MongoDB","2018-03-19",2.0,4.0,0.0,"DS"
"Data Integration/ Data Warehouse Specialist - Ssis/etl","Data Integration/ Data Warehouse Specialist - Ssis/etl","Premium","Mumbai","MDX- SSAS- MS SQL Server- SSIS- T - SQL- Data Integration- ETL- NoSQL- Data...","2018-03-19",10.0,15.0,0.0,"DS"
"Business Analyst Reporting- Reserve","Business Analyst Reporting- Reserve","ERM Placement Services (P) Ltd.","Hyderabad","digital marketing- html- market research- business intelligence...","2018-03-19",4.0,6.0,0.0,"DS"
"Machine Learning Scientist - R/python","Machine Learning Scientist - R/python","Premium","Bengaluru","R- Python- Machine Learning- Java- C++- Data Mining- MATLAB...","2018-03-20",4.0,9.0,0.0,"DS"
"Speech Scientist - Artificial Intelligence/machine Learning","Speech Scientist - Artificial Intelligence/machine Learning","Premium","Bengaluru","Deep Learning- C++- Computer Vision- Natural Language Processing...","2018-03-20",3.0,8.0,0.0,"DS"
